,varname,Locator Type,locname,Wall Layer,pipename,Pipe Number,out_unit,Description,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output,variable_output
79,,,,,,,,,655482600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,,,,,,,,,655482600.0,173.8823,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,173.8825,169.6742,0.5783671,0.02551868,0.0256518,0.02576532,0.02591117,0.02605816,0.02620749,0.02635788,0.02650959,0.0266629,0.02681749,0.02697342,0.02713051,0.02728858,0.02744817,0.02760814,0.02777025,0.0279332,0.02809771,0.02826291,0.02842947,0.02859671,0.02876566,0.02893572,0.02910626,0.02927857,0.02945203,0.02962608,0.02980211,0.02997836,0.03015623,0.03033557,0.0,0.0,0.03089793,0.03108014,0.03126347,0.03144826,0.03163489,0.03182227,0.03201057,0.03220129,0.03239274,0.0325857,0.03277949,0.03297481,0.03317134,0.03336886,0.03356746,0.03376717,0.03396916,0.03417208,0.03437586,0.03458116,0.03478782,0.03499563,0.03520452,0.03541439,0.03562603,0.03583913,0.03605338,0.03626871,0.03648584,0.03670366,0.03692374,0.03714403,0.0373662,0.03758965,0.03781493,0.03804123,0.03826911,0.03849809,0.03872793,0.03895962,0.03919358,0.03942795,0.03966399,0.03990087,0.04014013,0.040381,0.04062254,0.04086576,0.04111047,0.04135722,0.0416052,0.04185434,0.04210525,0.04235735,0.04261135,0.04286625,0.04312289,0.04338229,0.04364173,0.04390331,0.04416661,0.04443223,0.04469782,0.04496571,0.04523509,0.0455066,0.04577902,0.04605413,0.04633039,0.04660836,0.04688689,0.04716885,0.04745133,0.04773559,0.04802237,0.04831088,0.04860015,0.04889194,0.04918504,0.04948004,0.04977735,0.05007583,0.05037587,0.05067797,0.05098223,0.05128824,0.05159529,0.05190535,0.05221724,0.05253057,0.05284528
81,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,,,,,,,,,0.0,0.0001096556,0.0002696457,0.0003451775,0.0001758115,0.0001924789,0.0005776294,0.0004510559,0.0002082371,0.0001325188,0.0001128973,0.0001036246,0.0001004198,0.0001014965,8.776893e-05,0.182568,0.9121413,0.9948215,0.9990759,0.9997668,0.9999989,1.0,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,1.0,1.0,0.9999997,0.9999997,0.9999996,0.9999996,0.9999996,0.9999996,0.9999996,0.9999996,0.9999996,0.9999996,0.9999995,0.9999996,0.9999995,0.9999995,0.9999995,0.9999994,0.9999995,0.9999995,0.9999995,0.9999994,0.9999995,0.9999994,0.9999994,0.9999993,0.9999992,0.9999993,0.9999993,0.9999992,0.9999992,0.9999991,0.9999992,0.999999,0.9999991,0.9999991,0.9999991,0.9999991,0.999999,0.999999,0.9999989,0.9999988,0.999999,0.9999989,0.9999988,0.9999986,0.9999985,0.9999988,0.9999988,0.9999985,0.9999986,0.9999985,0.9999987,0.9999984,0.9999986,0.9999987,0.9999986,0.9999982,0.9999982,0.9999985,0.9999985,0.9999982,0.9999985,0.9999986,0.9999983,0.9999979,0.9999977,0.999998,0.9999981,0.999998,0.9999979,0.999998,0.999998,0.9999978,0.9999974,0.9999974,0.9999977,0.9999978,0.9999973,0.9999976,0.999998,0.999997,0.9999974,0.9999974,0.9999969,0.999996,0.9999972,0.9999976,0.9999958,0.9999963,0.9999969,0.9999971,0.9999963
85,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,,,,,,,,,0.002658072,0.01401648,0.006479947,0.006242499,0.006201885,0.006265055,0.006365125,0.006426735,0.006455501,0.006483574,0.00648818,0.006481965,0.006481045,0.006481324,0.006481492,0.006481529,0.006481488,0.006481342,0.006481269,0.006481024,0.006480551,0.006480269,0.00648024,0.006480283,0.0064798,0.006479753,0.006479748,0.00647962,0.006479228,0.006479398,0.006479189,0.00647916,0.006478678,0.006478765,0.006478651,0.006478729,0.00647844,0.006478483,0.006478719,0.006478424,0.00647805,0.006478122,0.006478203,0.00647821,0.006477992,0.00647787,0.006478045,0.006477841,0.006477782,0.006477728,0.00647788,0.006477847,0.006477566,0.006477466,0.006477675,0.006477673,0.006477445,0.006477533,0.006477533,0.006477457,0.006477261,0.00647716,0.00647729,0.00647726,0.006477187,0.006477068,0.006477197,0.006477173,0.006476999,0.006476938,0.006477233,0.00647722,0.006476944,0.006476947,0.006477057,0.006477113,0.006476772,0.006476975,0.006477133,0.006477111,0.006476922,0.006477015,0.006476942,0.00647702,0.006476801,0.00647675,0.006476919,0.006476888,0.006476715,0.006476853,0.006477011,0.006476902,0.006476585,0.006476662,0.006476684,0.006476712,0.006476709,0.00647667,0.006476847,0.006476851,0.006476643,0.006476442,0.006476683,0.00647676,0.00647649,0.006476528,0.006476821,0.006476636,0.006476409,0.006476528,0.006476776,0.006476677,0.006476394,0.006476369,0.006476433,0.006476469,0.006476496,0.006476521,0.006476606,0.006476686,0.006476341,0.006476359,0.006476489,0.006476583,0.006476294,0.006476437,0.006476376,0.006476494,0.006476313,0.006476282,0.006476665,0.006476525,0.006476219,0.006476213,0.006476539,0.006476357,0.006476388,0.006476339,0.006476549,0.006476451,0.006476328,0.006476273,0.006476359,0.006476359,0.006476252
87,,,,,,,,,0.00265443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,,,,,,,,,0.002943546,-1.239066e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,,,,,,,,,0.0,1.404072e-09,6.005187e-10,5.668543e-10,5.466671e-10,5.267839e-10,5.068376e-10,4.889796e-10,4.729356e-10,4.580741e-10,4.452172e-10,4.31489e-10,4.160614e-10,3.94154e-10,3.081823e-10,7.647556e-07,-7.10697e-06,-4.064564e-06,-3.775303e-06,-4.26069e-06,-2.95879e-06,-3.030605e-06,-2.798027e-06,-2.733256e-06,-2.565021e-06,-2.392864e-06,-2.267201e-06,-2.124474e-06,-2.004954e-06,-1.913024e-06,-1.798583e-06,-1.72157e-06,-1.679843e-06,-1.535199e-06,-1.489911e-06,-1.378823e-06,-1.341186e-06,-1.254875e-06,-1.235602e-06,-1.173314e-06,-1.149605e-06,-1.062163e-06,-1.044199e-06,-1.00511e-06,-9.248975e-07,-8.859682e-07,-8.66046e-07,-8.415428e-07,-8.371962e-07,-8.052655e-07,-7.541159e-07,-7.496971e-07,2.534028e-07,3.300174e-07,-5.939396e-07,-5.651537e-07,-5.225668e-07,-5.086521e-07,-4.987909e-07,-4.879305e-07,-4.534758e-07,-4.841663e-07,-4.68296e-07,-4.652025e-07,-4.301276e-07,-4.352522e-07,-4.090533e-07,-4.143251e-07,-3.944519e-07,-3.413519e-07,-3.782907e-07,-3.902646e-07,-3.793524e-07,-3.679489e-07,-3.760779e-07,-3.494937e-07,-3.568914e-07,-3.197787e-07,-2.771457e-07,-3.045128e-07,-3.132411e-07,-2.650604e-07,-2.795468e-07,-2.536375e-07,-2.789933e-07,-2.267626e-07,-2.375393e-07,-2.449489e-07,-2.495059e-07,-2.548069e-07,-2.238529e-07,-2.325487e-07,-2.105607e-07,-1.845541e-07,-2.35256e-07,-2.055959e-07,-1.89169e-07,-1.721182e-07,-1.5809e-07,-1.984103e-07,-2.027432e-07,-1.653414e-07,-1.691368e-07,-1.673807e-07,-1.885262e-07,-1.566175e-07,-1.781125e-07,-1.903875e-07,-1.737026e-07,-1.391923e-07,-1.38385e-07,-1.696859e-07,-1.677246e-07,-1.448068e-07,-1.769863e-07,-1.829117e-07,-1.537581e-07,-1.259656e-07,-1.139767e-07,-1.37413e-07,-1.437757e-07,-1.369403e-07,-1.331059e-07,-1.353462e-07,-1.355832e-07,-1.26231e-07,-1.073623e-07,-1.076739e-07,-1.20916e-07,-1.2883e-07,-1.073297e-07,-1.220918e-07,-1.446281e-07,-9.677885e-08,-1.121093e-07,-1.127777e-07,-9.604546e-08,-7.532666e-08,-1.076714e-07,-1.248334e-07,-7.217114e-08,-8.263133e-08,-1.009663e-07,-1.051915e-07,-8.509041e-08
93,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,,,,,,,,,0.0002549727,3.885768e-05,3.131101e-05,0.0001752659,0.0001927735,0.0001919258,0.0001901426,0.0001885258,0.0001875501,0.000187045,0.0001866027,0.0001864917,0.0001865608,0.0001865686,0.0001865432,0.0001865166,0.0001864941,0.000186475,0.0001864597,0.0001864472,0.0001864356,0.0001864255,0.000186417,0.0001864092,0.0001864013,0.0001863946,0.0001863885,0.0001863827,0.0001863772,0.0001863726,0.000186368,0.000186364,0.0001863598,0.0001863564,0.000186353,0.00018635,0.0001863468,0.0001863442,0.0001863418,0.0001863392,0.0001863366,0.0001863345,0.0001863326,0.0001863306,0.0001863285,0.0001863268,0.0001863251,0.0001863234,0.0001863218,0.0001863204,0.0001863191,0.0001863178,0.0001863162,0.0001863152,0.0001863139,0.0001863129,0.0001863116,0.0001863108,0.0001863098,0.0001863088,0.0001863075,0.0001863066,0.0001863056,0.000186305,0.000186304,0.0001863033,0.0001863024,0.0001863019,0.0001863008,0.0001863003,0.0001862998,0.0001862993,0.0001862983,0.0001862979,0.0001862972,0.0001862968,0.0001862959,0.0001862957,0.0001862952,0.0001862947,0.000186294,0.0001862936,0.0001862931,0.0001862928,0.000186292,0.0001862915,0.0001862912,0.0001862909,0.0001862902,0.0001862901,0.0001862897,0.0001862893,0.0001862888,0.0001862886,0.0001862881,0.0001862878,0.0001862874,0.0001862873,0.0001862869,0.0001862867,0.0001862863,0.0001862859,0.0001862858,0.0001862855,0.0001862849,0.0001862848,0.0001862846,0.0001862844,0.0001862838,0.0001862838,0.0001862836,0.0001862834,0.0001862829,0.0001862829,0.0001862825,0.0001862823,0.0001862821,0.000186282,0.0001862817,0.0001862817,0.0001862811,0.0001862811,0.0001862809,0.0001862807,0.0001862802,0.0001862804,0.00018628,0.00018628,0.0001862795,0.0001862796,0.0001862794,0.0001862792,0.0001862788,0.0001862788,0.0001862788,0.0001862785,0.0001862782,0.0001862782,0.0001862781,0.000186278,0.0001862776,0.0001862776,0.0001862775,0.0001862773,0.0001862769
95,,,,,,,,,0.0002549662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,,,,,,,,,0.0002588838,1.960941e-05,3.410005e-06,2.514287e-06,4.761409e-06,4.190865e-06,1.343103e-06,-1.640054e-06,-3.439428e-06,-5.238702e-06,-5.980184e-06,-6.317675e-06,-6.289044e-06,-5.897011e-06,-5.333798e-06,-5.193877e-06,-1.048154e-06,-3.239523e-08,-5.3465e-09,-1.521545e-09,-4.963529e-12,-2.250718e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
